#l(nm)	grating	l	CCD	l	tels	l	IFU	l	Total
350	0.48	350	0.72735	350	0.85606	350	0.89072	350	0.06893
360	0.49	360	0.78028	360	0.86749	360	0.92624	360	0.11087
370	0.5	370	0.81301	370	0.9029	370	0.94582	370	0.16365
380	0.505	380	0.83265	380	0.89096	380	0.95588	380	0.17478
390	0.51	390	0.843	390	0.87055	390	0.96225	390	0.17122
400	0.515	400	0.85155	400	0.85148	400	0.96576	400	0.16356
410	0.52	410	0.85637	410	0.82917	410	0.96815	410	0.15126
420	0.53135	420	0.85775	420	0.8401	420	0.96992	420	0.17246
430	0.5623	430	0.8586	430	0.89248	430	0.97074	430	0.23447
440	0.59325	440	0.85945	440	0.93052	440	0.97114	440	0.29368
450	0.62045	450	0.8603	450	0.95027	450	0.97156	450	0.33571
460	0.64765	460	0.86232	460	0.95629	460	0.9717	460	0.36071
470	0.66732	470	0.86679	470	0.95646	470	0.97147	470	0.37306
480	0.687	480	0.87373	480	0.95099	480	0.97073	480	0.37576
490	0.70043	490	0.8802	490	0.93778	490	0.97015	490	0.36297
500	0.71385	500	0.88552	500	0.91607	500	0.96925	500	0.3361
510	0.72205	510	0.89109	510	0.89693	510	0.96854	510	0.31231
520	0.73025	520	0.89698	520	0.89886	520	0.9674	520	0.31729
530	0.73438	530	0.90213	530	0.9203	530	0.96644	530	0.34953
540	0.7385	540	0.90706	540	0.94355	540	0.96518	540	0.38596
550	0.74043	550	0.91199	550	0.95682	550	0.9635	550	0.40502
560	0.74235	560	0.91659	560	0.96529	560	0.96193	560	0.41661
570	0.73975	570	0.92147	570	0.97127	570	0.96089	570	0.42364
580	0.73715	580	0.9255	580	0.9751	580	0.95973	580	0.42607
590	0.73142	590	0.92868	590	0.97647	590	0.95809	590	0.42007
600	0.7257	600	0.93165	600	0.97645	600	0.95674	600	0.41282
610	0.72128	610	0.93506	610	0.97806	610	0.95588	610	0.41117
620	0.71685	620	0.93804	620	0.97639	620	0.95464	620	0.40244
630	0.70945	630	0.93967	630	0.97472	630	0.95344	630	0.39178
640	0.70205	640	0.94117	640	0.97169	640	0.95248	640	0.38007
650	0.69345	650	0.94313	650	0.96907	650	0.95205	650	0.37064
660	0.68485	660	0.94422	660	0.96584	660	0.95145	660	0.35954
670	0.67533	670	0.94435	670	0.96244	670	0.95128	670	0.34908
680	0.6658	680	0.94435	680	0.95832	680	0.95086	680	0.33694
690	0.65635	690	0.94354	690	0.95576	690	0.95036	690	0.3268
700	0.6469	700	0.94238	700	0.95385	700	0.95064	700	0.31997
710	0.63595	710	0.94135	710	0.9561	710	0.95063	710	0.31717
720	0.625	720	0.94043	720	0.95952	720	0.95158	720	0.31874
730	0.61292	730	0.93907	730	0.96243	730	0.95154	730	0.31581
740	0.60085	740	0.9375	740	0.96944	740	0.95196	740	0.31943
750	0.58537	750	0.93593	750	0.97106	750	0.95249	750	0.31434
760	0.5699	760	0.93343	760	0.97466	760	0.95341	760	0.31245
770	0.56173	770	0.93062	770	0.9773	770	0.95406	770	0.31233
780	0.55355	780	0.92783	780	0.97928	780	0.95442	780	0.31039
790	0.54278	790	0.92426	790	0.98118	790	0.955	790	0.30721
800	0.532	800	0.92064	800	0.98088	800	0.95568	800	0.3015
810	0.52292	810	0.90536	810	0.9854	810	0.95753	810	0.30205
820	0.51385	820	0.90558	820	0.98806	820	0.95763	820	0.30039
830	0.50575	830	0.90435	830	0.98785	830	0.95917	830	0.29929
840	0.49765	840	0.89967	840	0.98847	840	0.95957	840	0.29482
850	0.49028	850	0.89108	850	0.98771	850	0.96044	850	0.28916
860	0.4829	860	0.88074	860	0.98684	860	0.96097	860	0.28189
870	0.47613	870	0.86893	870	0.98528	870	0.9626	870	0.27666
880	0.46935	880	0.85212	880	0.98472	880	0.96311	880	0.2681
890	0.46478	890	0.83227	890	0.98524	890	0.96438	890	0.26299
900	0.4602	900	0.80743	900	0.9849	900	0.96571	900	0.25541
910	0.45613	910	0.78031	910	0.98524	910	0.96617	910	0.24604
920	0.45205	920	0.74487	920	0.98514	920	0.96656	920	0.23351
930	0.44803	930	0.69562	930	0.9845	930	0.96775	930	0.21798
940	0.444	940	0.65874	940	0.98371	940	0.96812	940	0.20462
950	0.43903	950	0.61389	950	0.98279	950	0.96909	950	0.18954
960	0.43405	960	0.5469	960	0.98275	960	0.96965	960	0.16778
970	0.42813	970	0.48007	970	0.98281	970	0.97078	970	0.14684
980	0.4222	980	0.41891	980	0.98271	980	0.97109	980	0.12667
990	0.41623	990	0.35141	990	0.98186	990	0.97132	990	0.10461
1000	0.41025	1000	0.28766	1000	0.98103	1000	0.97182	1000	0.08452
